Date,Open,High,Low,Close,Adj Close,Volume
2025-12-30,23465.67,23521.05,23414.83,23419.08,23419.08,6769300000
2025-12-29,23414.68,23531.02,23397.52,23474.35,23474.35,6527530000
2025-12-26,23645.91,23665.15,23567.86,23593.1,23593.1,5170300000
2025-12-24,23555.95,23621.72,23527.97,23613.31,23613.31,3885190000
2025-12-23,23407.7,23563.46,23377.49,23561.84,23561.84,7518190000
2025-12-22,23450.53,23476.5,23362.93,23428.83,23428.83,7244910000
2025-12-19,23121.9,23307.91,23106.19,23307.62,23307.62,12874560000
2025-12-18,23012.06,23149.61,22906.23,23006.36,23006.36,7977920000
2025-12-17,23135.61,23159.2,22692.0,22693.32,22693.32,8616140000
2025-12-16,22981.82,23162.6,22920.66,23111.46,23111.46,7759960000
2025-12-15,23330.04,23345.56,23012.0,23057.41,23057.41,8649240000
2025-12-12,23488.87,23554.89,23094.51,23195.17,23195.17,8724070000
2025-12-11,23509.22,23606.7,23308.95,23593.86,23593.86,8337770000
2025-12-10,23536.0,23704.08,23435.17,23654.15,23654.15,7987900000
2025-12-09,23504.61,23616.46,23449.73,23576.49,23576.49,7192600000
2025-12-08,23638.22,23698.93,23455.05,23545.9,23545.9,8533670000
2025-12-05,23567.77,23680.03,23506.0,23578.13,23578.13,8248280000
2025-12-04,23527.3,23528.53,23372.33,23505.14,23505.14,7456860000
2025-12-03,23315.58,23499.93,23271.83,23454.09,23454.09,7962730000
2025-12-02,23379.75,23526.23,23286.46,23413.67,23413.67,7588580000
2025-12-01,23172.34,23363.85,23110.21,23275.92,23275.92,7859560000
2025-11-28,23291.59,23365.79,23250.51,23365.69,23365.69,4541070000
2025-11-26,23163.19,23280.58,23074.39,23214.69,23214.69,7291400000
2025-11-25,22802.85,23070.09,22587.11,23025.59,23025.59,8498500000
2025-11-24,22482.16,22916.4,22478.27,22872.01,22872.01,9232160000
2025-11-21,22162.83,22531.84,21898.29,22273.08,22273.08,9931240000
2025-11-20,23057.0,23147.33,22043.2,22078.05,22078.05,10548620000
2025-11-19,22459.27,22821.24,22385.22,22564.23,22564.23,8434200000
2025-11-18,22565.9,22643.01,22231.15,22432.85,22432.85,8606260000
2025-11-17,22788.32,23044.55,22559.51,22708.07,22708.07,9744800000
2025-11-14,22544.72,23073.18,22436.79,22900.59,22900.59,10841540000
2025-11-13,23262.64,23264.27,22796.07,22870.36,22870.36,11351410000
2025-11-12,23563.84,23564.09,23278.3,23406.46,23406.46,8449920000
2025-11-11,23407.72,23508.44,23315.28,23468.3,23468.3,7756810000
2025-11-10,23354.85,23569.62,23290.05,23527.17,23527.17,9297320000
2025-11-07,22892.92,23009.91,22563.42,23004.54,23004.54,10141910000
2025-11-06,23461.29,23469.55,23011.06,23053.99,23053.99,11085130000
2025-11-05,23358.07,23636.53,23286.87,23499.8,23499.8,10026890000
2025-11-04,23458.21,23644.15,23333.32,23348.64,23348.64,10227700000
2025-11-03,23951.91,23976.84,23764.87,23834.72,23834.72,10360170000
2025-10-31,23941.78,23946.23,23628.82,23724.96,23724.96,10909250000
2025-10-30,23793.08,23846.13,23578.47,23581.14,23581.14,10564160000
2025-10-29,23987.29,24019.99,23763.99,23958.47,23958.47,10089540000
2025-10-28,23766.46,23901.36,23675.19,23827.49,23827.49,10640830000
2025-10-27,23537.32,23658.66,23493.96,23637.46,23637.46,10757830000
2025-10-24,23143.23,23261.26,23127.96,23204.87,23204.87,10308620000
2025-10-23,22751.33,22983.46,22732.18,22941.8,22941.8,10363600000
2025-10-22,22940.79,22978.4,22514.08,22740.4,22740.4,14361150000
2025-10-21,22984.55,23010.35,22894.42,22953.67,22953.67,10845130000
2025-10-20,22844.82,23031.87,22841.0,22990.54,22990.54,9440620000
