Date,Open,High,Low,Close,Adj Close,Volume
2025-12-01,306.51,315.35,295.7,296.21,294.53,78420400.0
2025-11-01,308,324.9,288.07,308.58,305.15,85914200.0
2025-10-01,280.2,319.35,263.56,307.41,303.99,140510800.0
2025-09-01,240.9,288.85,238.25,282.16,279.02,110284600.0
2025-08-01,251.41,255.0,233.36,243.49,239.17,104949700.0
2025-07-01,294.55,295.61,252.22,253.15,248.65,109053700.0
2025-06-01,257.85,296.16,257.22,294.78,289.54,74394200.0
2025-05-01,241.44,269.28,237.95,259.06,252.78,78162200.0
2025-04-01,248.03,252.79,214.5,241.82,235.95,120774500.0
2025-03-01,254.74,266.45,237.22,248.66,242.63,100849800.0
2025-02-01,252.4,265.72,246.54,252.44,244.69,94123600.0
2025-01-01,221.82,261.8,214.61,255.7,247.85,92417100.0
2024-12-01,227.5,239.35,217.65,219.83,213.08,81531000.0
2024-11-01,207.77,230.36,204.07,227.41,218.7,77279500.0
2024-10-01,220.63,237.37,203.51,206.72,198.8,105623600.0
2024-09-01,201.91,224.15,199.34,221.08,212.61,83444300.0
2024-08-01,192.81,202.17,181.81,202.13,192.7,65453400.0
2024-07-01,173.45,196.26,173.38,192.14,183.18,81257600.0
2024-06-01,166.54,178.46,163.53,172.95,164.89,70651300.0
2024-05-01,165.69,175.46,162.62,166.85,157.51,78608400.0
2024-04-01,190,193.28,165.26,166.2,156.89,98358100.0
2024-03-01,185.49,199.18,185.18,190.96,180.27,99991800.0
2024-02-01,183.63,188.95,178.75,185.03,173.09,88674100.0
2024-01-01,162.83,196.9,157.89,183.66,171.81,129888400.0
2023-12-01,158.41,166.34,158.0,163.55,153.0,87834600.0
2023-11-01,145,158.6,144.45,158.56,146.66,78458700.0
2023-10-01,140.04,144.76,135.87,144.64,133.79,94385300.0
2023-09-01,147.26,151.93,139.61,140.3,129.77,82801600.0
2023-08-01,144.25,147.73,139.76,146.83,134.27,84269600.0
2023-07-01,133.42,144.6,131.55,144.18,131.85,85773800.0
2023-06-01,128.44,139.47,127.78,133.81,122.36,100714300.0
2023-05-01,126.35,130.07,120.55,128.59,116.01,96214100.0
2023-04-01,130.97,132.61,124.56,126.41,114.04,83680100.0
2023-03-01,128.9,131.48,121.71,131.09,118.26,138239000.0
2023-02-01,134.49,137.39,128.86,129.3,115.23,76080200.0
2023-01-01,141.1,147.18,132.98,134.73,120.07,105575000.0
2022-12-01,149.98,153.21,137.2,140.89,125.56,86424100.0
2022-11-01,138.25,150.46,133.97,148.9,131.14,93661300.0
2022-10-01,120.16,138.86,115.55,138.29,121.79,113478200.0
2022-09-01,128.4,130.99,118.61,118.81,104.64,87265100.0
2022-08-01,130.75,139.34,128.4,128.45,111.72,77419800.0
2022-07-01,141,141.87,125.13,130.79,113.75,129791800.0
2022-06-01,139.67,144.73,132.85,141.19,122.8,105811300.0
2022-05-01,133,139.83,125.8,138.84,119.31,113226200.0
2022-04-01,129.66,141.88,124.91,132.21,113.61,107684000.0
2022-03-01,122.67,133.08,120.7,130.02,111.73,96571700.0
2022-02-01,133.76,138.82,118.81,122.51,104.02,98534100.0
2022-01-01,134.07,142.2,124.19,133.57,113.41,146976800.0
2021-12-01,118.25,134.99,116.56,133.66,113.49,113968900.0
2021-11-01,119.55,124.78,114.56,117.1,98.12,120104799.0
2021-10-01,134.8,139.58,119.14,119.6,100.21,150725359.0
2021-09-01,133.82,134.39,126.94,132.82,111.29,80160627.0
2021-08-01,135.23,138.34,131.18,134.17,111.14,72891244.0
2021-07-01,140.5,141.01,130.22,134.76,111.63,115710194.0
2021-06-01,138.62,146.12,136.75,140.14,116.09,88332817.0
2021-05-01,137.49,141.98,134.72,137.42,112.58,102542414.0
2021-04-01,127.88,142.2,124.65,135.64,111.12,128573588.0
2021-03-01,115.06,131.04,113.54,127.4,104.37,133852331.0
2021-02-01,114.63,118.88,112.93,113.7,91.92,111617824.0
2021-01-01,120.32,126.42,112.2,113.87,92.06,183999975.0
2020-12-01,118.45,122.07,116.37,120.34,97.29,107553067.0
2020-11-01,107.7,119.8,106.27,118.09,94.1,108438088.0
2020-10-01,116.98,129.54,101.26,106.75,85.07,166434813.0
2020-09-01,117.45,124.24,111.36,116.32,92.69,88369845.0
2020-08-01,118.07,124.73,116.78,117.89,92.73,77439042.0
2020-07-01,114.98,126.36,110.13,117.53,92.45,119434686.0
2020-06-01,119.16,129.9,110.78,115.46,90.82,126567676.0
2020-05-01,117.77,121.39,106.89,119.41,92.68,97154572.0
2020-04-01,101.68,123.62,99.92,120.04,93.17,136705925.0
2020-03-01,125,130.11,86.58,106.05,82.31,198819809.0
2020-02-01,137.91,151.77,120.8,124.43,95.58,123581342.0
2020-01-01,129.06,139.38,127.34,137.41,105.55,118459187.0
2019-12-01,128.54,130.42,124.94,128.15,98.43,75159179.0
2019-11-01,128.59,133.02,126.91,128.54,97.58,67751825.0
2019-10-01,139.19,140.87,125.14,127.85,97.06,95625532.0
2019-09-01,128.92,140.12,127.47,139.02,105.54,64655351.0
2019-08-01,142.35,146.22,123.16,129.57,97.22,100678127.0
2019-07-01,133.46,145.26,133.01,141.72,106.34,83848718.0
2019-06-01,121.51,133.99,121.47,131.84,98.92,64163313.0
2019-05-01,134.37,135.57,121.27,121.41,90.02,79011074.0
2019-04-01,135.29,139.0,130.27,134.1,99.44,83886585.0
2019-03-01,133.18,135.87,127.71,134.89,100.03,78122915.0
2019-02-01,129.03,134.31,126.31,132.06,96.79,71610414.0
2019-01-01,107.08,129.46,106.78,128.51,94.19,125924904.0
2018-12-01,120.14,121.02,101.28,108.67,79.65,120921889.0
2018-11-01,110.42,119.56,109.5,118.8,85.99,148237970.0
2018-10-01,145.04,147.57,109.07,110.35,79.87,207205277.0
2018-09-01,139.56,146.61,138.44,144.56,104.63,100277823.0
2018-08-01,138.39,141.42,135.76,140.04,100.27,82838075.0
2018-07-01,132.2,143.92,132.12,138.56,99.21,99321884.0
2018-06-01,136.17,141.03,131.41,133.56,95.63,93932265.0
2018-05-01,138.29,139.77,133.75,135.1,95.67,92898293.0
2018-04-01,146.6,154.88,137.77,138.59,98.14,128391583.0
2018-03-01,148.69,154.98,142.01,146.68,103.88,98655478.0
2018-02-01,156.01,156.91,138.05,148.98,104.47,107073687.0
2018-01-01,147.71,163.6,146.79,156.5,109.75,151760375.0
2017-12-01,147.61,150.91,144.83,146.67,102.86,92872353.0
2017-11-01,147.32,148.09,139.78,147.2,102.2,93905278.0
2017-10-01,138.96,155.36,138.82,147.28,102.26,131111497.0
2017-09-01,136.69,140.94,135.41,138.7,96.3,81898348.0
2017-08-01,138.62,139.26,133.01,136.74,93.95,83937837.0
2017-07-01,146.83,149.17,137.32,138.31,95.03,97585001.0
2017-06-01,146.08,150.29,144.17,147.07,101.04,87839942.0
2017-05-01,153.01,153.37,143.2,145.92,99.28,108082238.0
2017-04-01,166.18,168.58,152.58,153.24,104.27,104654705.0
2017-03-01,172.54,174.52,164.52,166.48,113.28,83132942.0
2017-02-01,167.3,174.75,165.29,171.91,116.05,62572348.0
2017-01-01,159.66,171.37,158.07,166.85,112.63,92847665.0
2016-12-01,154.83,162.48,151.34,158.69,107.13,72666039.0
2016-11-01,146.75,157.42,144.36,155.09,103.75,79850384.0
