Date,Open,High,Low,Close,Adj Close,Volume
2025-12-27,304.65,310.0,302.0,302.05,300.34,6548200
2025-12-20,301.03,305.75,298.32,305.09,303.36,9560400
2025-12-13,308.99,311.36,295.7,300.98,299.27,26507300
2025-12-06,309.62,315.35,303.33,309.24,307.49,15686100
2025-11-29,306.51,311.83,298.91,307.94,306.19,16688300
2025-11-22,299.18,309.18,297.06,308.58,306.83,12761300
2025-11-15,305.59,306.0,288.07,297.44,295.75,23675400
2025-11-08,306.82,324.9,297.59,305.69,302.29,22302500
2025-11-01,308.0,315.44,296.0,306.38,302.97,27175000
2025-10-25,307.8,319.35,301.63,307.41,303.99,32440700
2025-10-18,281.25,310.75,263.56,307.46,304.04,51704400
2025-10-11,279.79,285.45,272.55,281.28,278.15,19005200
2025-10-04,288.61,301.04,277.5,277.82,274.73,24789900
2025-09-27,286.0,293.32,279.66,288.37,285.16,24519600
2025-09-20,266.62,288.85,266.0,284.31,281.15,34154600
2025-09-13,254.02,267.87,254.0,266.4,263.44,25569600
2025-09-06,248.63,260.66,247.02,253.44,250.62,24066100
2025-08-30,240.9,249.28,238.25,248.53,245.77,14545300
2025-08-23,242.57,245.96,239.43,243.49,240.78,18386700
2025-08-16,239.57,243.68,238.65,242.09,239.4,16264800
2025-08-09,242.24,243.15,233.36,239.72,237.05,32739400
2025-08-02,251.05,255.0,241.65,242.27,237.97,27875400
2025-07-26,260.3,265.8,245.61,250.05,245.61,29960600
2025-07-19,286.29,288.08,252.75,259.72,255.11,46388300
2025-07-12,282.83,287.16,279.87,285.87,280.79,16341400
2025-07-05,292.5,295.61,282.21,283.59,278.55,17663200
2025-06-28,290.93,295.11,286.9,291.97,286.78,11879000
2025-06-21,281.65,296.16,280.21,289.7,284.55,19051200
2025-06-14,279.31,286.91,277.2,280.97,275.98,17966000
2025-06-07,268.1,283.06,266.71,277.22,272.3,20812800
2025-05-31,257.85,270.17,257.22,268.87,264.09,13068800
2025-05-24,261.0,265.0,256.77,259.06,254.46,17566500
2025-05-17,265.45,269.28,255.79,258.63,254.04,15204300
2025-05-10,252.5,267.98,244.65,266.76,262.02,20439800
2025-05-03,243.74,256.52,243.64,249.2,243.16,16976400
2025-04-26,232.86,245.69,232.07,245.55,239.59,20198200
2025-04-19,238.07,249.34,224.44,232.41,226.77,39218100
2025-04-12,239.77,243.3,235.89,238.81,233.02,16190300
2025-04-05,219.24,237.58,214.5,235.48,229.77,31932700
2025-03-29,242.74,252.79,226.88,227.48,221.96,28005400
2025-03-22,247.31,254.32,242.07,244.0,238.08,18351800
2025-03-15,249.25,254.63,237.22,243.87,237.95,27866300
2025-03-08,261.56,266.45,241.68,248.35,242.33,25552500
2025-03-01,254.74,261.96,245.18,261.54,255.2,22284200
2025-02-22,261.5,263.85,246.54,252.44,246.32,25541400
2025-02-15,261.93,265.09,259.83,261.48,255.14,18534200
2025-02-08,250.86,261.94,246.87,261.28,253.26,19898100
2025-02-01,252.4,265.72,251.84,252.34,244.59,30149900
2025-01-25,222.19,261.8,219.84,255.7,247.85,39045300
2025-01-18,224.99,227.45,220.35,224.8,217.9,15594300
2025-01-11,217.89,225.96,214.61,224.79,217.89,18989800
2025-01-04,223.0,226.71,216.8,219.75,213.0,12336100
2024-12-28,220.54,223.66,217.6,222.65,215.81,10817400
2024-12-21,222.81,225.4,221.08,222.78,215.94,9271600
2024-12-14,230.73,231.03,220.03,223.36,216.5,28264500
2024-12-07,238.0,239.35,227.8,230.82,223.73,20885700
2024-11-30,227.5,238.38,225.51,238.04,230.73,18743400
2024-11-23,223.35,230.36,222.65,227.41,220.43,17274200
2024-11-16,207.0,227.2,205.37,222.97,216.12,21386600
2024-11-09,214.4,215.41,204.07,204.99,197.14,19438000
2024-11-02,207.65,216.7,205.57,213.72,205.54,15846600
2024-10-26,215.5,216.25,203.51,208.25,200.28,26467700
2024-10-19,231.21,233.34,214.39,214.67,206.45,31380700
2024-10-12,233.57,237.37,230.17,232.2,223.31,18477500
2024-10-05,225.38,235.83,225.02,233.26,224.33,18397900
2024-09-28,220.65,226.08,215.8,226.0,217.35,17777300
2024-09-21,218.0,224.15,217.27,220.84,212.38,16300000
2024-09-14,215.88,218.84,210.37,217.7,209.36,28532500
2024-09-07,201.94,216.09,201.43,214.79,206.57,21517500
2024-08-31,201.91,205.95,199.34,200.74,193.05,13550900
2024-08-24,196.0,202.17,195.9,202.13,194.39,15570100
2024-08-17,193.84,197.92,193.72,196.1,188.59,11022600
2024-08-10,191.25,194.35,189.0,193.78,186.36,11330700
2024-08-03,184.55,192.88,181.81,191.45,182.52,18895800
2024-07-27,193.18,194.55,185.7,189.12,180.3,20594400
2024-07-20,183.4,196.26,182.86,191.75,182.81,25458500
2024-07-13,183.38,189.47,181.95,183.25,174.7,17829300
2024-07-06,176.41,184.16,174.45,182.83,174.3,16070300
2024-06-29,173.45,177.98,173.38,176.02,167.81,9939300
2024-06-22,175.0,178.46,170.41,172.95,164.89,18800800
2024-06-15,168.76,174.96,167.5,172.46,164.42,21530800
2024-06-08,169.55,172.47,166.81,169.21,161.32,16217400
2024-06-01,166.54,171.31,163.53,170.01,162.08,14102300
2024-05-25,170.44,171.09,163.84,166.85,159.07,15583500
2024-05-18,169.0,175.46,168.38,170.89,162.92,18409700
2024-05-11,167.5,169.63,166.48,169.03,161.15,15933400
2024-05-04,166.5,170.26,165.88,167.15,157.79,17421600
2024-04-27,167.4,168.22,162.62,165.71,156.43,22514000
2024-04-20,182.45,184.68,165.66,167.13,157.77,42329300
2024-04-13,185.57,187.48,180.17,181.58,171.41,16929500
2024-04-06,189.24,191.25,181.69,182.27,172.06,14963300
2024-03-30,190.0,193.28,187.34,189.14,178.55,12882200
2024-03-23,190.26,191.93,188.5,190.96,180.27,15383300
2024-03-16,191.7,193.98,190.01,190.84,180.15,23968500
2024-03-09,195.09,199.18,190.7,191.07,180.37,27536300
2024-03-02,187.76,198.73,187.6,195.95,184.98,29085300
2024-02-24,185.6,188.38,182.62,188.2,177.66,21955400
2024-02-17,187.64,188.77,178.75,185.72,175.32,17483100
2024-02-10,185.9,188.95,182.26,187.64,177.13,21745000
2024-02-03,185.51,187.18,181.49,186.34,174.32,22784200
2024-01-27,187.46,189.46,182.71,185.79,173.8,28283900
2024-01-20,172.82,196.9,172.4,187.42,175.33,57499400
2024-01-13,165.8,171.58,165.04,171.48,160.41,19864200
2024-01-06,158.69,165.98,157.89,165.8,155.1,17643200
2023-12-30,162.83,163.29,158.67,159.16,148.89,15322500
2023-12-23,162.23,164.18,162.05,163.55,153.0,9604500
2023-12-16,162.23,163.33,159.53,162.14,151.68,17735300
2023-12-09,162.68,166.34,160.15,162.23,151.76,33504500
2023-12-02,160.29,162.79,159.97,161.96,151.51,22118400
2023-11-25,154.99,160.59,154.75,160.55,150.19,21900700
2023-11-18,152.51,155.71,152.35,155.18,145.17,11361900
2023-11-11,148.46,153.5,147.35,152.89,143.02,19547300
2023-11-04,147.89,149.68,145.28,149.02,137.84,18357400
2023-10-28,143.19,148.45,142.58,147.9,136.8,22959200
2023-10-21,136.63,144.7,135.87,142.52,131.83,30227400
2023-10-14,139.28,140.62,136.31,137.16,126.87,21044100
2023-10-07,142.3,143.42,138.27,138.46,128.07,16385600
2023-09-30,140.04,142.94,139.86,142.03,131.37,15932300
2023-09-23,146.57,147.43,139.61,140.3,129.77,23445900
2023-09-16,145.77,151.93,144.66,146.91,135.89,23592500
2023-09-09,148.57,148.78,145.53,145.99,135.04,19316200
2023-09-02,147.91,149.0,147.12,147.68,136.6,13719200
2023-08-26,145.41,148.1,145.21,147.94,136.84,15198300
2023-08-19,141.42,145.47,141.11,145.35,134.45,15614700
2023-08-12,143.05,143.37,139.76,141.41,130.8,18825900
2023-08-05,145.0,146.5,142.21,143.12,130.88,19428400
2023-07-29,143.81,146.09,142.17,144.24,131.9,24068200
2023-07-22,139.35,143.95,138.78,143.45,131.18,24310400
2023-07-15,133.26,140.32,133.1,138.94,127.05,29294400
2023-07-08,131.76,135.33,131.7,133.4,121.99,15108300
2023-07-01,133.42,134.35,131.55,132.08,120.78,10922600
2023-06-24,129.39,135.03,129.31,133.81,122.36,18695800
2023-06-17,136.36,137.23,129.18,129.43,118.36,27110100
2023-06-10,136.0,139.47,135.82,137.48,125.72,24223000
2023-06-03,133.12,136.1,131.88,135.3,123.73,21173500
2023-05-27,129.56,133.12,127.46,132.42,121.09,24843200
2023-05-20,127.5,129.66,125.01,128.89,117.86,21030100
2023-05-13,123.0,128.29,122.34,127.26,116.37,18283800
2023-04-29,126.35,126.75,121.76,123.65,111.55,21164600
2023-04-22,125.55,127.25,124.56,126.41,114.04,20655600
2023-04-15,128.3,130.98,125.27,125.73,113.43,30345900
2023-04-08,129.83,131.1,126.0,128.14,115.6,19506400
2023-04-01,130.97,132.61,130.32,130.5,117.73,13172200
2023-03-25,126.47,131.48,126.47,131.09,118.26,20779100
2023-03-18,124.31,127.22,122.6,125.29,113.03,20457800
2023-03-11,125.15,128.19,121.71,123.69,111.59,66131400
2023-03-04,129.64,130.86,125.13,125.45,113.18,20909600
2023-02-25,131.42,131.87,127.71,129.64,116.96,17865500
2023-02-18,134.0,134.39,128.86,130.57,117.79,14198800
2023-02-11,136.0,137.39,133.89,135.02,121.81,16543600
2023-02-04,135.83,136.74,133.34,135.6,120.85,22141000
2023-01-28,134.32,136.95,132.8,136.94,122.04,27874500
2023-01-21,141.4,142.99,132.98,134.39,119.77,43345100
2023-01-14,146.42,147.18,139.75,141.2,125.84,21419300
2023-01-07,144.08,146.66,142.9,145.89,130.02,14580100
2022-12-31,141.1,144.25,140.01,143.7,128.07,13648400
2022-12-24,141.73,142.81,139.45,140.89,125.56,10477100
2022-12-17,140.16,143.09,137.2,141.65,126.24,19662700
2022-12-10,147.82,153.21,138.97,140.16,124.91,33571600
2022-12-03,147.94,149.15,146.29,147.05,131.05,15316800
2022-11-26,147.98,150.01,145.67,148.67,132.5,20066300
2022-11-19,147.55,150.46,146.45,148.37,132.23,16271700
2022-11-12,142.63,148.31,142.0,147.64,131.58,22081500
2022-11-05,136.64,144.13,136.51,143.17,126.09,25066200
2022-10-29,138.06,140.17,133.97,136.96,120.62,22486800
2022-10-22,130.9,138.86,129.85,138.51,121.99,26666200
2022-10-15,121.8,130.85,121.43,129.9,114.4,37309900
2022-10-08,119.79,122.54,115.55,120.04,105.72,22971800
2022-10-01,120.16,126.46,118.07,118.82,104.65,21615000
2022-09-24,122.3,124.26,118.61,118.81,104.64,22265200
2022-09-17,126.49,128.06,121.74,122.71,108.07,19450800
2022-09-10,130.33,130.99,123.83,127.27,112.09,27107200
2022-09-03,127.8,129.49,126.28,129.19,113.78,12005100
2022-08-27,129.99,131.42,127.24,127.79,112.55,15118100
2022-08-20,137.65,137.85,130.34,130.38,114.83,16982100
2022-08-13,132.96,139.34,132.24,138.37,121.86,17105900
2022-08-06,133.1,134.09,129.12,134.01,116.56,17250000
2022-07-30,130.75,132.86,130.51,132.48,115.22,17400500
2022-07-23,128.44,131.0,127.58,130.79,113.75,22223800
2022-07-16,140.15,140.31,125.13,128.25,111.55,66246800
2022-07-09,140.62,141.87,135.02,139.92,121.7,21081000
2022-07-02,139.97,141.32,135.27,140.47,122.17,16228300
2022-06-25,142.26,144.16,139.26,141.12,122.74,21052200
2022-06-18,135.9,142.37,135.9,142.06,123.56,23921700
2022-06-11,133.97,138.45,132.85,135.02,117.43,34055600
2022-06-04,142.98,144.73,135.25,136.19,118.45,18910200
2022-05-28,138.2,142.58,136.81,141.18,122.79,19861600
2022-05-21,129.5,139.74,129.42,139.27,121.13,19617800
2022-05-14,133.1,138.37,125.8,128.48,111.75,27360500
2022-05-07,134.41,136.35,128.43,133.6,114.81,31171300
2022-04-30,133.0,137.99,130.89,137.67,118.3,27098500
2022-04-23,137.59,139.87,132.0,132.21,113.61,24626600
2022-04-16,126.6,141.88,125.53,138.25,118.8,47145700
2022-04-09,127.95,130.58,124.91,126.56,108.76,15342600
2022-04-02,130.26,131.23,126.73,127.73,109.76,16556700
2022-03-26,130.82,133.08,128.06,130.15,111.84,19183800
2022-03-19,129.0,131.4,127.4,131.35,112.87,15500600
2022-03-12,124.45,128.93,122.69,128.76,110.65,22741100
2022-03-05,126.47,128.35,123.13,123.96,106.52,23784900
2022-02-26,122.21,127.35,120.7,126.62,108.81,26131000
2022-02-19,124.2,125.0,118.81,124.18,106.71,20460200
2022-02-12,132.59,132.65,123.61,124.35,106.86,26021100
2022-02-05,137.45,138.35,132.38,132.69,112.67,23489100
2022-01-29,134.09,138.82,132.3,137.15,116.45,27665400
2022-01-22,127.99,137.34,124.19,134.5,114.2,52504500
2022-01-15,132.95,133.9,129.27,129.35,109.83,20535600
2022-01-08,134.47,136.2,127.97,134.21,113.96,32068700
2022-01-01,134.07,142.2,132.51,134.83,114.48,36009000
2021-12-25,130.63,134.99,129.95,133.66,113.49,18499200
2021-12-18,125.72,130.96,124.7,130.63,110.92,17369600
2021-12-11,123.76,128.64,120.79,127.4,108.17,35213100
2021-12-04,119.4,125.33,119.4,124.09,105.36,25031500
2021-11-27,118.62,119.61,116.45,118.84,100.91,36058000
2021-11-20,116.0,118.81,114.56,115.81,98.33,17871800
2021-11-13,119.54,120.16,115.27,116.05,98.54,24267500
2021-11-06,123.99,124.78,118.78,118.96,99.68,29193800
2021-10-30,119.55,123.77,118.39,123.61,103.57,30569199
2021-10-23,121.92,122.99,119.14,119.6,100.21,35865352
2021-10-16,137.67,138.57,121.04,122.26,102.44,62479254
2021-10-09,137.19,138.48,133.52,138.25,115.84,17009948
2021-10-02,136.46,139.58,134.69,136.92,114.73,28462916
2021-09-25,131.89,137.64,130.44,137.02,114.81,24917707
2021-09-18,128.01,132.39,126.94,131.44,110.14,19272549
2021-09-11,132.31,132.88,129.11,129.28,108.33,21053470
2021-09-04,133.51,133.64,130.98,130.99,109.76,14386475
2021-08-28,133.37,134.74,132.72,133.44,111.81,13955523
2021-08-21,133.48,134.61,132.31,133.28,111.68,12945506
2021-08-14,136.93,137.42,131.18,132.99,111.44,16932230
2021-08-07,135.95,137.27,134.17,136.88,113.39,19312089
2021-07-31,135.23,138.34,134.83,137.75,114.11,17184211
2021-07-24,135.17,137.32,134.6,134.76,111.63,16875746
2021-07-17,130.45,138.55,130.22,135.12,111.93,36386574
2021-07-10,135.21,135.72,132.5,132.79,110.0,19517733
2021-07-03,133.83,135.74,131.07,135.3,112.08,22535965
2021-06-26,140.54,141.01,133.33,133.86,110.89,30396551
2021-06-19,137.77,140.6,137.72,140.38,116.29,17916934
2021-06-12,144.08,144.39,136.75,136.83,113.34,24330901
2021-06-05,141.06,146.12,140.7,144.63,119.81,23056874
2021-05-29,138.62,141.06,137.43,140.94,116.75,13025733
2021-05-22,138.68,139.0,136.75,137.42,113.83,19333742
2021-05-15,138.09,139.39,134.72,138.37,114.63,21491012
