Date,Open,High,Low,Close,Adj Close,Volume
"Dec 1, 2025","23,172.34","23,704.08","22,692.00","23,241.99","23,241.99","168,780,390,000"
"Nov 1, 2025","23,951.91","23,976.84","21,898.29","23,365.69","23,365.69","176,367,050,000"
"Oct 1, 2025","22,530.95","24,019.99","22,193.07","23,724.96","23,724.96","243,658,250,000"
"Sep 1, 2025","21,086.57","22,801.90","21,033.05","22,660.01","22,660.01","192,919,050,000"
"Aug 1, 2025","20,830.64","21,803.75","20,560.17","21,455.55","21,455.55","176,309,030,000"
"Jul 1, 2025","20,290.61","21,457.48","20,105.41","21,122.45","21,122.45","209,936,950,000"
"Jun 1, 2025","19,063.06","20,418.31","18,985.30","20,369.73","20,369.73","184,980,880,000"
"May 1, 2025","17,793.14","19,389.39","17,503.01","19,113.77","19,113.77","281,078,560,000"
"Apr 1, 2025","17,221.55","17,716.52","14,784.03","17,446.34","17,446.34","196,411,380,000"
"Mar 1, 2025","18,923.36","18,992.30","16,854.37","17,299.29","17,299.29","158,800,650,000"
"Feb 1, 2025","19,215.38","20,110.12","18,372.99","18,847.28","18,847.28","150,047,820,000"
"Jan 1, 2025","19,403.90","20,118.61","18,831.91","19,627.44","19,627.44","161,608,850,000"
"Dec 1, 2024","19,255.43","20,204.58","19,168.38","19,310.79","19,310.79","159,134,440,000"
"Nov 1, 2024","18,189.67","19,366.07","18,112.83","19,218.17","19,218.17","146,515,010,000"
"Oct 1, 2024","18,154.94","18,785.50","17,767.79","18,095.15","18,095.15","132,373,190,000"
"Sep 1, 2024","17,585.45","18,327.34","16,668.57","18,189.17","18,189.17","110,388,680,000"
"Aug 1, 2024","17,647.03","18,017.69","15,708.54","17,713.62","17,713.62","121,239,310,000"
"Jul 1, 2024","17,773.90","18,671.07","17,015.38","17,599.40","17,599.40","119,005,630,000"
"Jun 1, 2024","16,865.70","18,035.00","16,646.43","17,732.60","17,732.60","107,772,060,000"
"May 1, 2024","15,646.09","17,032.66","15,557.64","16,735.02","16,735.02","140,039,820,000"
"Apr 1, 2024","16,397.05","16,490.65","15,222.78","15,657.82","15,657.82","107,535,290,000"
"Mar 1, 2024","16,109.83","16,538.86","15,862.63","16,379.46","16,379.46","106,387,420,000"
"Feb 1, 2024","15,254.02","16,134.22","15,208.88","16,091.92","16,091.92","106,763,830,000"
"Jan 1, 2024","14,873.70","15,630.58","14,477.57","15,164.01","15,164.01","111,351,260,000"
"Dec 1, 2023","14,181.35","15,150.07","14,058.52","15,011.35","15,011.35","120,361,680,000"
"Nov 1, 2023","12,887.06","14,423.22","12,875.20","14,226.22","14,226.22","95,884,580,000"
"Oct 1, 2023","13,217.98","13,714.14","12,543.86","12,851.24","12,851.24","97,818,540,000"
"Sep 1, 2023","14,129.96","14,149.62","12,963.16","13,219.32","13,219.32","94,727,650,000"
"Aug 1, 2023","14,274.93","14,309.21","13,161.76","14,034.97","14,034.97","110,754,840,000"
"Jul 1, 2023","13,798.70","14,446.55","13,567.25","14,346.02","14,346.02","96,983,440,000"
"Jun 1, 2023","12,944.46","13,864.06","12,903.63","13,787.92","13,787.92","107,650,300,000"
"May 1, 2023","12,210.05","13,154.29","11,925.37","12,935.29","12,935.29","101,290,320,000"
"Apr 1, 2023","12,146.09","12,245.43","11,798.77","12,226.58","12,226.58","90,509,520,000"
"Mar 1, 2023","11,447.58","12,227.93","10,982.80","12,221.91","12,221.91","120,323,510,000"
"Feb 1, 2023","11,573.14","12,269.55","11,334.47","11,455.54","11,455.54","99,644,100,000"
"Jan 1, 2023","10,562.06","11,691.89","10,265.04","11,584.55","11,584.55","106,732,920,000"
"Dec 1, 2022","11,475.17","11,571.64","10,207.47","10,466.48","10,466.48","100,007,430,000"
"Nov 1, 2022","11,154.74","11,492.62","10,262.93","11,468.00","11,468.00","101,572,370,000"
"Oct 1, 2022","10,659.01","11,230.44","10,088.83","10,988.15","10,988.15","98,292,380,000"
"Sep 1, 2022","11,707.44","12,270.19","10,572.33","10,575.62","10,575.62","98,888,530,000"
"Aug 1, 2022","12,317.96","13,181.09","11,790.02","11,816.20","11,816.20","110,367,680,000"
"Jul 1, 2022","11,006.83","12,426.26","10,911.45","12,390.69","12,390.69","94,293,720,000"
"Jun 1, 2022","12,176.89","12,320.12","10,565.14","11,028.74","11,028.74","113,875,890,000"
"May 1, 2022","12,331.69","12,985.01","11,035.69","12,081.39","12,081.39","111,465,680,000"
"Apr 1, 2022","14,269.53","14,534.38","12,315.74","12,334.64","12,334.64","96,581,010,000"
"Mar 1, 2022","13,716.70","14,646.90","12,555.35","14,220.52","14,220.52","131,081,330,000"
"Feb 1, 2022","14,277.43","14,509.56","12,587.88","13,751.40","13,751.40","89,543,300,000"
"Jan 1, 2022","15,732.50","15,852.14","13,094.65","14,239.88","14,239.88","100,106,820,000"
"Dec 1, 2021","15,752.27","15,901.47","14,860.04","15,644.97","15,644.97","104,264,460,000"
"Nov 1, 2021","15,541.26","16,212.23","15,451.39","15,537.69","15,537.69","109,314,860,000"
"Oct 1, 2021","14,494.93","15,504.12","14,181.69","15,498.39","15,498.39","99,492,020,000"
"Sep 1, 2021","15,308.98","15,403.44","14,444.30","14,448.58","14,448.58","95,275,100,000"
"Aug 1, 2021","14,758.60","15,288.08","14,423.16","15,259.24","15,259.24","88,083,480,000"
"Jul 1, 2021","14,493.69","14,863.65","14,178.66","14,672.68","14,672.68","88,708,530,000"
"Jun 1, 2021","13,829.06","14,535.97","13,548.93","14,503.95","14,503.95","108,377,000,000"
"May 1, 2021","14,031.77","14,042.12","13,002.54","13,748.74","13,748.74","89,415,440,000"
