Date,Open,High,Low,Close,Adj Close,Volume
"Dec 27, 2025","23,414.68","23,531.02","23,397.52","23,419.08","23,419.08","13,296,830,000"
"Dec 20, 2025","23,450.53","23,665.15","23,362.93","23,593.10","23,593.10","23,818,590,000"
"Dec 13, 2025","23,330.04","23,345.56","22,692.00","23,307.62","23,307.62","45,877,820,000"
"Dec 6, 2025","23,638.22","23,704.08","23,094.51","23,195.17","23,195.17","40,776,010,000"
"Nov 29, 2025","23,172.34","23,680.03","23,110.21","23,578.13","23,578.13","39,116,010,000"
"Nov 22, 2025","22,482.16","23,365.79","22,478.27","23,365.69","23,365.69","29,563,130,000"
"Nov 15, 2025","22,788.32","23,147.33","21,898.29","22,273.08","22,273.08","47,265,120,000"
"Nov 8, 2025","23,354.85","23,569.62","22,436.79","22,900.59","22,900.59","47,697,000,000"
"Nov 1, 2025","23,951.91","23,976.84","22,563.42","23,004.54","23,004.54","51,841,800,000"
"Oct 25, 2025","23,537.32","24,019.99","23,493.96","23,724.96","23,724.96","52,961,610,000"
"Oct 18, 2025","22,844.82","23,261.26","22,514.08","23,204.87","23,204.87","55,319,120,000"
"Oct 11, 2025","22,578.67","22,886.87","22,213.73","22,679.97","22,679.97","51,066,110,000"
"Oct 4, 2025","22,894.35","23,119.91","22,193.07","22,204.43","22,204.43","54,118,500,000"
"Sep 27, 2025","22,605.30","22,925.43","22,493.96","22,780.51","22,780.51","48,167,700,000"
"Sep 20, 2025","22,606.59","22,801.90","22,185.87","22,484.07","22,484.07","47,191,650,000"
"Sep 13, 2025","22,243.20","22,645.11","22,058.92","22,631.48","22,631.48","51,933,060,000"
"Sep 6, 2025","21,806.22","22,182.34","21,731.48","22,141.10","22,141.10","44,451,970,000"
"Aug 30, 2025","21,086.57","21,878.81","21,033.05","21,700.39","21,700.39","31,367,580,000"
"Aug 23, 2025","21,466.47","21,742.46","21,389.10","21,455.55","21,455.55","41,094,150,000"
"Aug 16, 2025","21,616.82","21,651.50","20,905.99","21,496.54","21,496.54","40,464,820,000"
"Aug 9, 2025","21,459.65","21,803.75","21,346.62","21,622.98","21,622.98","43,515,320,000"
"Aug 2, 2025","20,853.91","21,464.53","20,833.86","21,450.02","21,450.02","41,567,320,000"
"Jul 26, 2025","21,176.40","21,457.48","20,560.17","20,650.13","20,650.13","49,549,600,000"
"Jul 19, 2025","20,960.33","21,159.80","20,750.90","21,108.32","21,108.32","57,372,830,000"
"Jul 12, 2025","20,592.56","20,980.56","20,492.63","20,895.65","20,895.65","44,814,890,000"
"Jul 5, 2025","20,490.55","20,655.39","20,323.02","20,585.53","20,585.53","44,678,680,000"
"Jun 28, 2025","20,360.15","20,624.51","20,105.41","20,601.10","20,601.10","31,408,790,000"
"Jun 21, 2025","19,427.01","20,311.51","19,334.98","20,273.46","20,273.46","45,008,660,000"
"Jun 14, 2025","19,550.75","19,733.31","19,380.58","19,447.41","19,447.41","35,926,990,000"
"Jun 7, 2025","19,573.14","19,800.46","19,367.42","19,406.83","19,406.83","56,285,030,000"
